REPORT_NUMBER,MODE,SEX,AGE,YEAR,COUNTY_NAME,S4_CRASH_SEVERITY,DAY_NIGHT,LOC_TYPE
26474721,E-Bike,Female,52.0,2024,Pasco,Injury,Day,Intersection
26859425,E-Scooter,Male,46.0,2024,Pinellas,Injury,Day,Segment
26737039,E-Scooter,Male,53.0,2025,Miami-Dade,Injury,Night,Segment
26377949,E-Bike,Male,21.0,2024,Manatee,Injury,Day,Intersection
26692859,E-Scooter,Male,28.0,2024,Miami-Dade,Injury,Day,Segment
26559249,E-Bike,Female,25.0,2024,Pinellas,No Injury,Night,Intersection
26801320,E-Bike,Male,15.0,2025,Leon,Injury,Day,Intersection
26783079,E-Scooter,,,2025,Broward,Injury,Day,Intersection
26573349,E-Bike,,,2024,St. Lucie,Injury,Day,Segment
26285570,E-Bike,Male,17.0,2024,Orange,Injury,Day,Segment
26551676,E-Scooter,Male,31.0,2026,Hillsborough,Injury,Night,Segment
26128321,E-Bike,Male,29.0,2024,Collier,Injury,Day,Intersection
26552123,E-Bike,Male,18.0,2025,Hillsborough,Injury,Day,Segment
26247289,E-Bike,,,2024,Broward,Injury,Day,Segment
26858684,E-Bike,Female,32.0,2024,Pinellas,Injury,Day,Segment
26784018,E-Scooter,,,2025,Broward,Injury,Day,Segment
26471578,E-Bike,Male,22.0,2025,Pasco,Injury,Day,Intersection
26710771,E-Scooter,Male,15.0,2024,Miami-Dade,Injury,Day,Intersection
26625476,E-Scooter,,,2025,Miami-Dade,No Injury,Day,Segment
26533887,E-Bike,Female,25.0,2024,Broward,Serious Injury,Day,Segment
26542465,E-Bike,Male,62.0,2024,Hillsborough,Injury,Day,Segment
26493116,E-Bike,Male,66.0,2024,Orange,Injury,Day,Segment
26831258,Bicycle,Male,20.0,2025,Duval,Injury,Day,Intersection
26203248,E-Bike,,,2024,Pinellas,Injury,Day,Segment
26346773,Bicycle,Male,59.0,2024,Osceola,Fatality,Day,Segment
26237282,E-Scooter,Male,44.0,2024,Palm Beach,Injury,Day,Intersection
26737250,E-Scooter,Male,33.0,2025,Miami-Dade,Injury,Night,Segment
26775754,E-Bike,,,2024,Broward,Serious Injury,Day,Segment
26157067,E-Bike,Male,,2024,Okeechobee,No Injury,Day,Intersection
26504637,E-Bike,Male,52.0,2024,Sarasota,Injury,Day,Segment
26447812,Bicycle,Male,57.0,2024,Bay,Injury,Day,Intersection
26237134,E-Scooter,Female,21.0,2024,Palm Beach,Injury,Day,Intersection
26212820,E-Bike,Male,23.0,2024,Clay,Injury,Day,Segment
26625476,E-Scooter,,,2025,Miami-Dade,No Injury,Day,Segment
26200106,E-Bike,Male,27.0,2024,Pasco,Serious Injury,Day,Segment
26314352,E-Scooter,Female,13.0,2024,Orange,Injury,Day,Segment
26423167,Bicycle,Male,21.0,2025,Pinellas,No Injury,Day,Segment
26555342,E-Bike,Male,11.0,2025,Hillsborough,Injury,Night,Intersection
26615471,E-Bike,Male,56.0,2024,Hillsborough,Injury,Day,Intersection
26159745,E-Scooter,Male,5.0,2024,Brevard,Serious Injury,Day,Segment
26406332,E-Scooter,Male,60.0,2026,Broward,Fatality,Night,Segment
26726917,E-Scooter,Male,52.0,2025,Miami-Dade,No Injury,Night,Intersection
26308756,Bicycle,Male,57.0,2024,Pinellas,Injury,Night,Intersection
26505023,E-Scooter,Male,14.0,2024,Sarasota,Injury,Day,Intersection
26579255,E-Scooter,,,2024,Palm Beach,Injury,Day,Segment
26783955,E-Bike,,,2025,Broward,Injury,Night,Segment
26510239,E-Scooter,,,2025,Broward,Injury,Day,Intersection
26419960,Bicycle,Male,35.0,2024,Pasco,Injury,Day,Segment
26732818,E-Scooter,Male,23.0,2025,Miami-Dade,Injury,Day,Intersection
26399345,E-Bike,Male,46.0,2024,Orange,Serious Injury,Day,Segment
26243033,E-Scooter,,,2024,Alachua,No Injury,Day,Intersection
26215992,E-Bike,Male,11.0,2024,Clay,Injury,Day,Intersection
26410571,E-Bike,Male,65.0,2024,Escambia,Serious Injury,Day,Intersection
26547431,E-Scooter,Female,27.0,2024,Hillsborough,Injury,Day,Segment
26364221,Bicycle,Female,29.0,2024,Santa Rosa,Serious Injury,Night,Segment
26374446,E-Bike,Male,37.0,2024,Pasco,Injury,Day,Intersection
26332168,E-Bike,Male,15.0,2024,Sarasota,No Injury,Day,Segment
26532915,E-Bike,Male,14.0,2024,Broward,Injury,Day,Segment
26738223,E-Bike,Male,48.0,2025,Miami-Dade,No Injury,Day,Intersection
26554507,E-Bike,Male,25.0,2025,Hillsborough,Injury,Day,Intersection
26343243,Bicycle,Male,68.0,2024,Volusia,No Injury,Day,Intersection
26172794,E-Bike,Male,16.0,2024,Hillsborough,Serious Injury,Day,Segment
26590789,E-Scooter,,,2024,Broward,Injury,Day,Segment
26204992,E-Bike,,,2025,Pinellas,Injury,Day,Segment
26530887,E-Bike,Male,44.0,2024,Pasco,Injury,Day,Intersection
26339203,E-Bike,Male,41.0,2024,Escambia,Serious Injury,Night,Intersection
26805475,E-Bike,Male,19.0,2025,Leon,Injury,Day,Segment
26811279,E-Bike,Male,18.0,2024,Flagler,Injury,Day,Segment
26558020,E-Bike,Male,38.0,2024,Pinellas,Injury,Day,Intersection
26529362,E-Scooter,Male,13.0,2025,Miami-Dade,Injury,Day,Segment
26229135,E-Bike,Male,77.0,2024,Sumter,Serious Injury,Day,Intersection
26592213,E-Scooter,,,2025,Broward,Injury,Day,Segment
26266932,E-Bike,Male,22.0,2024,Miami-Dade,Injury,Day,Intersection
26265775,E-Bike,Male,30.0,2024,Miami-Dade,Injury,Night,Intersection
26324045,E-Scooter,Male,62.0,2025,Charlotte,Serious Injury,Day,Segment
26592207,E-Scooter,,,2025,Broward,Injury,Night,Segment
26189363,E-Scooter,Male,19.0,2025,Miami-Dade,Injury,Day,Intersection
26154226,E-Scooter,Male,17.0,2025,Broward,Injury,Night,Segment
26683342,E-Scooter,Male,22.0,2024,Sarasota,Injury,Day,Segment
26245700,E-Scooter,,,2024,Alachua,Injury,Night,Intersection
26518222,E-Scooter,Male,15.0,2024,Miami-Dade,Injury,Day,Segment
26165455,E-Scooter,Female,24.0,2024,Marion,Injury,Night,Segment
26712261,E-Scooter,Female,27.0,2024,Miami-Dade,No Injury,Day,Intersection
26274260,E-Scooter,Male,28.0,2024,Miami-Dade,No Injury,Night,Intersection
26376627,Bicycle,Male,12.0,2024,Brevard,Injury,Day,Segment
26173697,Bicycle,Male,58.0,2023,Hillsborough,Injury,Day,Segment
26392793,E-Scooter,Female,49.0,2024,Orange,No Injury,Day,Intersection
26258365,E-Scooter,Male,50.0,2024,Miami-Dade,Injury,Day,Intersection
26258365,E-Scooter,Female,27.0,2024,Miami-Dade,Injury,Day,Intersection
26852599,E-Scooter,Male,31.0,2024,Broward,Injury,Night,Intersection
26742899,E-Bike,Female,37.0,2025,St. Johns,No Injury,Night,Segment
26430390,E-Scooter,Male,14.0,2024,Orange,Injury,Day,Intersection
26550458,E-Bike,Male,18.0,2026,Hillsborough,Injury,Day,Segment
26835252,Bicycle,Female,23.0,2024,Duval,Serious Injury,Day,Intersection
26753163,E-Bike,Male,19.0,2024,Palm Beach,Injury,Day,Intersection
26818649,E-Bike,Male,34.0,2024,Martin,Serious Injury,Day,Intersection
26625749,E-Scooter,,,2025,Miami-Dade,Injury,Day,Segment
26180985,E-Bike,,,2024,St. Lucie,Injury,Night,Segment
26855832,E-Scooter,,,2025,Palm Beach,Injury,Day,Segment
26400744,E-Bike,Male,45.0,2024,Pinellas,Serious Injury,Day,Segment
26552134,E-Scooter,Male,51.0,2025,Hillsborough,Serious Injury,Day,Segment
26265473,E-Scooter,Female,26.0,2024,Miami-Dade,Injury,Day,Intersection
26265473,E-Scooter,Female,26.0,2024,Miami-Dade,Injury,Day,Intersection
26290886,Bicycle,Male,23.0,2024,Hernando,Injury,Night,Intersection
26563667,E-Bike,Male,16.0,2026,Brevard,Injury,Day,Segment
26202686,Bicycle,,,2024,Pinellas,Injury,Day,Segment
26730022,E-Scooter,Male,26.0,2025,Miami-Dade,Injury,Night,Segment
26195817,E-Bike,Male,43.0,2025,Palm Beach,Fatality,Night,Segment
26792752,E-Bike,Male,51.0,2024,Lee,Injury,Day,Intersection
26215595,E-Bike,Male,20.0,2024,Clay,Injury,Day,Segment
26643326,E-Bike,Male,16.0,2025,Orange,Injury,Day,Intersection
26436273,E-Scooter,Male,43.0,2024,Osceola,Injury,Day,Segment
26715310,E-Scooter,Female,20.0,2024,Miami-Dade,Injury,Day,Segment
26628633,E-Scooter,Male,25.0,2026,Seminole,Injury,Day,Segment
26796226,E-Bike,Male,42.0,2024,Lee,Injury,Day,Intersection
26445510,E-Bike,Male,53.0,2024,Orange,Serious Injury,Night,Segment
26481856,E-Bike,Male,12.0,2025,Taylor,Serious Injury,Day,Intersection
26397975,Bicycle,Male,14.0,2024,Pasco,Injury,Day,Segment
26550636,E-Bike,Male,15.0,2025,Hillsborough,Injury,Day,Intersection
26476996,E-Bike,Female,17.0,2025,Orange,Serious Injury,Night,Segment
26580473,E-Scooter,,,2025,Palm Beach,Injury,Day,Segment
26416386,E-Bike,Male,32.0,2024,Clay,Injury,Day,Intersection
26705179,E-Bike,Male,23.0,2024,Miami-Dade,Injury,Day,Intersection
26289756,E-Scooter,Male,54.0,2024,Manatee,Injury,Night,Intersection
26686199,E-Bike,Male,8.0,2025,Orange,No Injury,Day,Segment
26337047,E-Scooter,Male,34.0,2026,Brevard,Injury,Day,Segment
26616964,E-Bike,Male,62.0,2024,Hillsborough,Injury,Day,Intersection
26856031,E-Scooter,,,2025,Palm Beach,Injury,Day,Intersection
26190145,E-Scooter,Male,19.0,2025,Miami-Dade,Injury,Night,Intersection
26249653,Bicycle,Male,17.0,2024,St. Johns,No Injury,Day,Intersection
26855989,E-Bike,,,2025,Palm Beach,Injury,Day,Intersection
26506296,E-Bike,Female,56.0,2024,Sarasota,Injury,Day,Segment
26541053,Bicycle,Male,16.0,2024,Hillsborough,Injury,Day,Segment
26383579,E-Bike,Male,22.0,2024,Citrus,Injury,Day,Segment
26847571,E-Bike,Male,24.0,2025,Duval,Injury,Night,Intersection
26674680,E-Bike,Male,23.0,2024,Marion,Injury,Day,Intersection
